id,word,zh,theme,level,phrase,phraseZh,category,group,image,audio,art,hasImage,hasAudio
english-word-413,afternoon,下午,生活,L1,Good afternoon.,下午好,,,,,emoji:🌅,no,no
english-word-514,age,年龄,生活,L1,What is your age?,你几岁了？,,,,,emoji:🧒,no,no
english-word-346,animal,动物,生活,L1,Many animals.,各种动物,,,图片/animal.png,,emoji:🐎,yes,no
english-word-388,arm,手臂,生活,L1,Raise your arm.,举起手臂,,,,,emoji:💪,no,no
english-word-394,art,美术,生活,L1,You are so smart!,你真聪明！,,,,,emoji:🎨,no,no
english-word-435,autumn,秋天,生活,L1,Autumn leaves.,秋天的叶子,,,,,emoji:🍁,no,no
english-word-42,baby,宝宝,生活,L1,The baby is cute.,宝宝很可爱。,,,图片/baby.png,,emoji:👶,yes,no
english-word-363,basketball,篮球,生活,L1,I play basketball.,我打篮球。,,,,,emoji:🏀,no,no
english-word-369,bathroom,卫生间,生活,L1,Wash hands in the bathroom.,在卫生间洗手。,,,,,emoji:🛁,no,no
english-word-368,bedroom,卧室,生活,L1,This is my bedroom.,这是我的卧室。,,,,,emoji:🛏️,no,no
english-word-426,boat,小船,生活,L1,Sail the boat.,开船,,,图片/boat.png,音频/boat.mp3,emoji:⛵,yes,yes
english-word-417,breakfast,早餐,生活,L1,It's time for breakfast.,该吃早餐啦。,,,,,emoji:🥐,no,no
english-word-39,brother,哥哥,生活,L1,I have a brother.,我有一个哥哥。,,,,,emoji:👦,no,no
english-word-461,can't,不能,生活,L1,Can't is a useful word.,我看见不能。,,,,,emoji:🙅,no,no
english-word-386,cheap,便宜的,生活,L1,This book is cheap.,这本书很便宜。,,,,,emoji:💰,no,no
english-word-391,chinese,中文,生活,L1,Speak Chinese.,说中文,,,图片/chinese.png,,emoji:🀄,yes,no
english-word-442,coat,外套,生活,L1,Put on your coat.,穿上外套。,,,,,emoji:🧥,no,no
english-word-376,coffee,咖啡,生活,L1,Dad drinks coffee.,爸爸喝咖啡。,,,,,emoji:☕,no,no
english-word-437,cool,凉爽的,生活,L1,Cool weather.,凉爽的天气,,,,,emoji:😎,no,no
english-word-454,cough,咳嗽,生活,L1,I have a cough.,我咳嗽了。,,,,,emoji:🤧,no,no
english-word-344,cute,可爱的,生活,L1,Cute kitten.,可爱的小猫,,,,,emoji:🥰,no,no
english-word-95,dad,爸爸,生活,L1,My dad is here.,我的爸爸在这里。,,,,,emoji:👨,no,no
english-word-451,dear,亲爱的,生活,L1,"Dear mom, I love you.",亲爱的妈妈，我爱你。,,,,,emoji:💌,no,no
english-word-432,difficult,困难的,生活,L1,This is difficult.,这个有点难。,,,,,emoji:🧩,no,no
english-word-416,dinner,晚餐,生活,L1,This is a dinner.,这是晚餐。,,,,,emoji:🍽️,no,no
english-word-431,easy,容易的,生活,L1,Easy blocks.,简单的积木,,,,,emoji:😊,no,no
english-word-358,eighteen,十八,生活,L1,Eighteen apples.,十八个苹果,,,,,emoji:1️⃣,no,no
english-word-392,english,英语,生活,L1,Learn English.,学英语,,,图片/english.png,,emoji:🔤,yes,no
english-word-414,evening,傍晚,生活,L1,Good evening.,晚上好,,,,,emoji:🌆,no,no
english-word-387,expensive,贵的,生活,L1,This is an expensive.,这是贵的。,,,,,emoji:💎,no,no
english-word-24,family,家人,生活,L1,I love my family.,我爱我的家人。,,,,,emoji:👨‍👩‍👧,no,no
english-word-381,fan,扇子,生活,L1,This is a fan.,这是扇子。,,,,,emoji:🪭,no,no
english-word-345,fat,胖的,生活,L1,This is a fat.,这是胖的。,,,,,emoji:🍩,no,no
english-word-37,father,爸爸,生活,L1,My father is tall.,我的爸爸很高。,,,,,emoji:👨,no,no
english-word-453,fever,发烧,生活,L1,This is a fever.,这是发烧。,,,,,emoji:🤒,no,no
english-word-355,fifteen,十五,生活,L1,Fifteen years old.,十五岁生日,,,,,emoji:1️⃣,no,no
english-word-384,fifty,五十,生活,L1,This is a fifty.,这是五十。,,,,,emoji:5️⃣,no,no
english-word-457,fine,好的,生活,L1,This is a fine.,这是好的。,,,,,emoji:👍,no,no
english-word-424,flower,花,生活,L1,Beautiful flower.,美丽的花,,,图片/flower.png,音频/flower.mp3,emoji:🌸,yes,yes
english-word-438,fly kites,放风筝,生活,L1,I fly kites.,我放风筝。,,,,,emoji:🪁,no,no
english-word-364,football,足球,生活,L1,This is a football.,这是足球。,,,,,emoji:⚽,no,no
english-word-383,forty,四十,生活,L1,This is a forty.,这是四十。,,,,,emoji:4️⃣,no,no
english-word-354,fourteen,十四,生活,L1,Fourteen friends.,十四个朋友,,,,,emoji:1️⃣,no,no
english-word-404,friday,星期五,生活,L1,This is a friday.,这是星期五。,,,,,emoji:📅,no,no
english-word-373,fridge,冰箱,生活,L1,This is a fridge.,这是冰箱。,,,,,emoji:🧊,no,no
english-word-41,friend,朋友,生活,L1,You are my friend.,你是我的朋友。,,,,音频/friend.mp3,emoji:🤗,no,yes
english-word-349,fruit,水果,生活,L1,This is a fruit.,这是水果。,,,,,emoji:🍎,no,no
english-word-407,get up,起床,生活,L1,Good morning! Time to get up!,早上好！该起床啦！,,,,,emoji:⏰,no,no
english-word-378,glass,玻璃杯,生活,L1,This is a glass.,这是玻璃杯。,,,图片/glass.png,,emoji:🥛,yes,no
english-word-446,gloves,手套,生活,L1,Put on gloves.,戴上手套,,,,,emoji:🧤,no,no
english-word-421,go home,回家,生活,L1,Let's go home.,我们回家吧。,,,,,emoji:🏠,no,no
english-word-440,go skating,去溜冰,生活,L1,I go skating.,我去溜冰。,,,,,emoji:⛸️,no,no
english-word-439,go swimming,去游泳,生活,L1,I go swimming.,我去游泳。,,,,,emoji:🏊,no,no
english-word-408,go to school,去上学,生活,L1,Let's go to school!,我们去上学吧！,,,,,emoji:🏫,no,no
english-word-106,grandma,奶奶,生活,L1,My grandma is kind.,我的奶奶很温柔。,,,,,emoji:👵,no,no
english-word-107,grandpa,爷爷,生活,L1,My grandpa reads a book.,我的爷爷在看书。,,,,,emoji:👴,no,no
english-word-351,great,好极了,生活,L1,Great job!,做得真棒！,,,,,emoji:🌟,no,no
english-word-374,hamburger,汉堡包,生活,L1,This is a hamburger.,这是汉堡包。,,,,,emoji:🍔,no,no
english-word-410,have lessons,上课,生活,L1,I have lessons.,我上课。,,,,,emoji:📘,no,no
english-word-455,headache,头疼,生活,L1,Headache is a useful word.,我看见头疼。,,,,,emoji:🤕,no,no
english-word-459,hear,听到,生活,L1,Hear music.,听见音乐,,,,,emoji:👂,no,no
english-word-429,hill,小山,生活,L1,Green hill.,绿色的小山,,,图片/hill.png,音频/hill.mp3,emoji:⛰️,yes,yes
english-word-23,home,家,生活,L1,Let's go home.,我们回家吧。,,,,,emoji:🏠,no,no
english-word-419,homework,家庭作业,生活,L1,Do homework.,做家庭作业,,,,,emoji:📝,no,no
english-word-450,ill,生病的,生活,L1,Ill is a useful word.,我看见生病的。,,,,,emoji:🤒,no,no
english-word-444,jacket,夹克,生活,L1,A jacket.,一件夹克,,,,,emoji:🧥,no,no
english-word-370,kitchen,厨房,生活,L1,This is a kitchen.,这是厨房。,,,,,emoji:🍳,no,no
