id,word,zh,theme,level,phrase,phraseZh,category,group,image,audio,art,hasImage,hasAudio
english-word-185,a,一个,高频词,L1,What a beautiful day!,多么美好的一天！,,,,,emoji:🅰️,no,no
english-word-312,about,关于,高频词,L1,I know about.,我认识关于。,,,,,none,no,no
english-word-236,after,之后,高频词,L1,I know after.,我认识之后。,,,,,none,no,no
english-word-237,again,再一次,高频词,L1,"Try again, you'll get it.",再试一次，你能做到的。,,,,,none,no,no
english-word-196,all,全部,高频词,L1,I know all.,我认识全部。,,,,,none,no,no
english-word-274,always,总是,高频词,L1,I know always.,我认识总是。,,,,,none,no,no
english-word-197,am,是,高频词,L1,I am full.,我吃饱了。,,,,,emoji:😊,no,no
english-word-238,an,一个,高频词,L1,I know an.,我认识一个。,,,,,none,no,no
english-word-186,and,和,高频词,L1,I know and.,我认识和。,,,,,emoji:➕,no,no
english-word-239,any,任何,高频词,L1,I know any.,我认识任何。,,,,,none,no,no
english-word-198,are,是,高频词,L1,Are you hungry?,你饿了吗？,,,,,emoji:✅,no,no
english-word-275,around,周围,高频词,L1,I know around.,我认识周围。,,,,,none,no,no
english-word-240,as,作为,高频词,L1,I know as.,我认识作为。,,,,,none,no,no
english-word-241,ask,问,高频词,L1,I know ask.,我认识问。,,,,,emoji:❔,no,no
english-word-199,at,在,高频词,L1,Look at me!,看我！,,,,,none,no,no
english-word-200,ate,吃了,高频词,L1,I know ate.,我认识吃了。,,,,,emoji:🍽️,no,no
english-word-201,be,是,高频词,L1,Be careful!,小心！,,,,,none,no,no
english-word-276,because,因为,高频词,L1,I know because.,我认识因为。,,,,,none,no,no
english-word-277,been,已经,高频词,L1,I know been.,我认识已经。,,,,,none,no,no
english-word-278,before,之前,高频词,L1,Wash your hands before eating.,吃饭前要洗手。,,,,,none,no,no
english-word-279,best,最好,高频词,L1,I know best.,我认识最好。,,,,,none,no,no
english-word-313,better,更好,高频词,L1,I know better.,我认识更好。,,,,,none,no,no
english-word-280,both,两个,高频词,L1,I know both.,我认识两个。,,,,,none,no,no
english-word-314,bring,带来,高频词,L1,I know bring.,我认识带来。,,,,,none,no,no
english-word-202,brown,棕色,高频词,L1,I know brown.,我认识棕色。,,,,,emoji:🤎,no,no
english-word-203,but,但是,高频词,L1,I know but.,我认识但是。,,,,,none,no,no
english-word-281,buy,买,高频词,L1,I know buy.,我认识买。,,,,,emoji:🛒,no,no
english-word-242,by,在旁边,高频词,L1,I know by.,我认识在旁边。,,,,,none,no,no
english-word-282,call,叫,高频词,L1,I know call.,我认识叫。,,,,,emoji:📞,no,no
english-word-204,came,来了,高频词,L1,I know came.,我认识来了。,,,,,none,no,no
english-word-187,can,能,高频词,L1,You can do it!,你一定能行！,,,,,emoji:💪,no,no
english-word-315,carry,搬,高频词,L1,I know carry.,我认识搬。,,,,,none,no,no
