id,kind,word,translation,category,curriculumLevel,example,exampleZh,phonetic
pinyin-initial-b,pinyin,b,爸,lips,L1,爸,bà,bà
pinyin-initial-p,pinyin,p,皮,lips,L1,皮,pí,pí
pinyin-initial-m,pinyin,m,妈,lips,L1,妈,mā,mā
pinyin-initial-f,pinyin,f,飞,lips,L1,飞,fēi,fēi
pinyin-initial-d,pinyin,d,大,tip,L1,大,dà,dà
pinyin-initial-t,pinyin,t,土,tip,L1,土,tǔ,tǔ
pinyin-initial-n,pinyin,n,你,tip,L1,你,nǐ,nǐ
pinyin-initial-l,pinyin,l,乐,tip,L1,乐,lè,lè
pinyin-initial-g,pinyin,g,哥,root,L2,哥,gē,gē
pinyin-initial-k,pinyin,k,可,root,L2,可,kě,kě
pinyin-initial-h,pinyin,h,火,root,L2,火,huǒ,huǒ
pinyin-initial-j,pinyin,j,鸡,palatal,L2,鸡,jī,jī
pinyin-initial-q,pinyin,q,七,palatal,L2,七,qī,qī
pinyin-initial-x,pinyin,x,西,palatal,L2,西,xī,xī
pinyin-initial-zh,pinyin,zh,知,retroflex,L2,知,zhī,zhī
pinyin-initial-ch,pinyin,ch,吃,retroflex,L2,吃,chī,chī
pinyin-initial-sh,pinyin,sh,师,retroflex,L2,师,shī,shī
pinyin-initial-r,pinyin,r,日,retroflex,L2,日,rì,rì
pinyin-initial-z,pinyin,z,字,dental,L2,字,zì,zì
pinyin-initial-c,pinyin,c,草,dental,L2,草,cǎo,cǎo
pinyin-initial-s,pinyin,s,丝,dental,L2,丝,sī,sī
pinyin-initial-y,pinyin,y,衣,semi,L2,衣,yī,yī
pinyin-initial-w,pinyin,w,乌,semi,L2,乌,wū,wū
pinyin-final-a,pinyin,a,啊,simple,L3,啊,ā,ā
pinyin-final-o,pinyin,o,哦,simple,L3,哦,ó,ó
pinyin-final-e,pinyin,e,鹅,simple,L3,鹅,é,é
pinyin-final-i,pinyin,i,衣,simple,L3,衣,yī,yī
pinyin-final-u,pinyin,u,乌,simple,L3,乌,wū,wū
pinyin-final-ü,pinyin,ü,鱼,simple,L3,鱼,yú,yú
pinyin-final-ai,pinyin,ai,爱,compound,L3,爱,ài,ài
pinyin-final-ei,pinyin,ei,诶,compound,L3,诶,ēi,ēi
pinyin-final-ui,pinyin,ui,喂,compound,L3,喂,wèi,wèi
pinyin-final-ao,pinyin,ao,袄,compound,L3,袄,ǎo,ǎo
pinyin-final-ou,pinyin,ou,欧,compound,L3,欧,ōu,ōu
pinyin-final-iu,pinyin,iu,优,compound,L3,优,yōu,yōu
pinyin-final-ie,pinyin,ie,耶,compound,L4,耶,yē,yē
pinyin-final-üe,pinyin,üe,月,compound,L4,月,yuè,yuè
pinyin-final-er,pinyin,er,耳,special,L4,耳,ěr,ěr
pinyin-final-an,pinyin,an,安,front-nasal,L4,安,ān,ān
pinyin-final-en,pinyin,en,恩,front-nasal,L4,恩,ēn,ēn
pinyin-final-in,pinyin,in,因,front-nasal,L4,因,yīn,yīn
pinyin-final-un,pinyin,un,温,front-nasal,L4,温,wēn,wēn
pinyin-final-ün,pinyin,ün,云,front-nasal,L4,云,yún,yún
pinyin-final-ang,pinyin,ang,昂,back-nasal,L4,昂,áng,áng
pinyin-final-eng,pinyin,eng,亨,back-nasal,L4,亨,hēng,hēng
pinyin-final-ing,pinyin,ing,英,back-nasal,L4,英,yīng,yīng
pinyin-final-ong,pinyin,ong,翁,back-nasal,L4,翁,wēng,wēng
pinyin-whole-zhi,pinyin,zhi,知,whole,L5,知,zhī,zhī
pinyin-whole-chi,pinyin,chi,吃,whole,L5,吃,chī,chī
pinyin-whole-shi,pinyin,shi,师,whole,L5,师,shī,shī
pinyin-whole-ri,pinyin,ri,日,whole,L5,日,rì,rì
pinyin-whole-zi,pinyin,zi,字,whole,L5,字,zì,zì
pinyin-whole-ci,pinyin,ci,次,whole,L5,次,cì,cì
pinyin-whole-si,pinyin,si,丝,whole,L5,丝,sī,sī
pinyin-whole-yi,pinyin,yi,衣,whole,L5,衣,yī,yī
pinyin-whole-wu,pinyin,wu,乌,whole,L5,乌,wū,wū
pinyin-whole-yu,pinyin,yu,鱼,whole,L5,鱼,yú,yú
pinyin-whole-ye,pinyin,ye,叶,whole,L5,叶,yè,yè
pinyin-whole-yue,pinyin,yue,月,whole,L5,月,yuè,yuè
pinyin-whole-yuan,pinyin,yuan,元,whole,L5,元,yuán,yuán
pinyin-whole-yin,pinyin,yin,因,whole,L5,因,yīn,yīn
pinyin-whole-yun,pinyin,yun,云,whole,L5,云,yún,yún
pinyin-whole-ying,pinyin,ying,英,whole,L5,英,yīng,yīng
