id,word,zh,theme,level,phrase,phraseZh,category,group,image,audio,art,hasImage,hasAudio
english-word-566,after school,放学后,学校,L1,I play after school.,放学后我去玩。,,,,,emoji:🏫,no,no
english-word-543,april,四月,学校,L1,My birthday is in April.,我的生日在四月。,,,,,emoji:📅,no,no
english-word-544,august,八月,学校,L1,My birthday is in August.,我的生日在八月。,,,,,emoji:📅,no,no
english-word-520,bad,不好,学校,L1,Bad weather.,坏天气,,,,,emoji:😟,no,no
english-word-572,be back,回来,学校,L1,I will be back soon.,我很快回来。,,,,,emoji:👋,no,no
english-word-577,beautiful,美丽的,学校,L1,What a beautiful day!,多么美好的一天！,,,,,emoji:🌼,no,no
english-word-464,behind,在后面,学校,L1,The cat is behind the box.,猫在盒子后面。,,,,,emoji:🙈,no,no
english-word-554,birthday,生日,学校,L1,Happy birthday!,生日快乐！,,,,,emoji:🎂,no,no
english-word-521,bite,咬,学校,L1,Do not bite the apple.,不要咬苹果。,,,,,emoji:😬,no,no
english-word-463,blackboard,黑板,学校,L1,Write on the blackboard.,写在黑板上,,,,,emoji:⬛,no,no
english-word-518,body,身体,学校,L1,Healthy body.,健康的身体,,,,,emoji:🧍,no,no
english-word-478,bookshop,书店,学校,L1,We go to the bookshop.,我们去书店。,,,,,emoji:📚,no,no
english-word-470,boy,男孩,学校,L1,Good boy / good girl!,好孩子！,,,,,emoji:👦,no,no
english-word-538,cap,帽子,学校,L1,Wear a cap.,戴鸭舌帽,,,,,emoji:🧢,no,no
english-word-487,card,卡片,学校,L1,This is my card.,这是我的卡片。,,,,,emoji:🃏,no,no
english-word-591,children,孩子们,学校,L1,The children are playing.,孩子们在玩。,,,,,emoji:🧒,no,no
english-word-483,christmas,圣诞节,学校,L1,Merry Christmas!,圣诞快乐！,,,,,emoji:🎄,no,no
english-word-484,christmas tree,圣诞树,学校,L1,I see a Christmas tree.,我看见一棵圣诞树。,,,,,emoji:🎄,no,no
english-word-515,class,班级,学校,L1,Our class is fun.,我们班很好玩。,,,,,emoji:🏫,no,no
english-word-471,classmate,同班同学,学校,L1,My classmate.,我的同学,,,,,emoji:👫,no,no
english-word-558,classroom,教室,学校,L1,Bright classroom.,明亮的教室,,,,,emoji:🏫,no,no
english-word-584,cleaning the room,正在打扫房间,学校,L1,I am cleaning the room.,我在打扫房间。,,,,,emoji:🧹,no,no
english-word-494,cloudy,多云,学校,L1,Cloudy weather.,多云的天气,,,,,emoji:☁️,no,no
english-word-531,cola,可乐,学校,L1,I drink cola.,我喝可乐。,,,,,emoji:🥤,no,no
english-word-462,colour,颜色,学校,L1,What colour is it?,这是什么颜色？,,,,,emoji:🎨,no,no
english-word-557,computer class,计算机课,学校,L1,I have computer class.,我有电脑课。,,,,,emoji:💻,no,no
english-word-585,cooking dinner,正在做饭,学校,L1,Mom is cooking dinner.,妈妈在做晚饭。,,,,,emoji:🍳,no,no
english-word-545,december,十二月,学校,L1,My birthday is in December.,我的生日在十二月。,,,,,emoji:📅,no,no
english-word-555,delicious,好吃,学校,L1,The cake is delicious.,蛋糕很好吃。,,,,,none,no,no
english-word-595,dining room,餐厅,学校,L1,We eat in the dining room.,我们在餐厅吃饭。,,,,,emoji:🍽️,no,no
english-word-567,draw pictures,画画,学校,L1,I like to draw pictures.,我喜欢画画。,,,,,emoji:🖍️,no,no
english-word-508,eat breakfast,吃早饭,学校,L1,I eat breakfast.,我吃早饭。,,,,,emoji:🍳,no,no
english-word-509,eat dinner,吃晚饭,学校,L1,I eat dinner.,我吃晚饭。,,,,,emoji:🍽️,no,no
english-word-510,eat lunch,吃午饭,学校,L1,I eat lunch.,我吃午饭。,,,,,emoji:🍱,no,no
english-word-504,eleven,十一,学校,L1,Eleven people.,十一个人,,,图片/eleven.png,,emoji:1️⃣,yes,no
english-word-512,every day,每天,学校,L1,I brush my teeth every day.,我每天刷牙。,,,,,emoji:📅,no,no
english-word-592,everyone,每人,学校,L1,Everyone is happy.,大家都开心。,,,,,emoji:👨‍👩‍👧‍👦,no,no
english-word-485,father christmas,圣诞老人,学校,L1,Father Christmas is coming.,圣诞老人来了。,,,,,emoji:🎅,no,no
english-word-502,favourite,特别喜爱的,学校,L1,Red is my favourite.,红色是我最喜欢的。,,,,,emoji:⭐,no,no
english-word-546,february,二月,学校,L1,My birthday is in February.,我的生日在二月。,,,,,emoji:📅,no,no
english-word-586,feeding the fish,正在喂鱼,学校,L1,I am feeding the fish.,我在喂鱼。,,,,,emoji:🐠,no,no
english-word-519,feet,脚,学校,L1,I have two feet.,我有两只脚。,,,,,emoji:🦶,no,no
english-word-559,floor,地板,学校,L1,Sit on the floor.,坐在地板上。,,,,,emoji:🪵,no,no
english-word-490,fly a kite,放风筝,学校,L1,I fly a kite.,我放风筝。,,,,,emoji:🪁,no,no
english-word-597,for rent,供出租,学校,L1,This house is for rent.,这房子在出租。,,,,,emoji:🏠,no,no
english-word-472,girl,女孩,学校,L1,Good boy / good girl!,好孩子！,,,,,emoji:👧,no,no
english-word-511,go to bed,上床睡觉,学校,L1,It's time to go to bed.,该睡觉啦。,,,,,emoji:🛏️,no,no
english-word-516,grade,年级,学校,L1,I am in this grade.,我在这个年级。,,,,,emoji:🎒,no,no
english-word-482,grass,草坪,学校,L1,Green grass.,绿绿的草,,,图片/grass.png,,emoji:🌿,yes,no
english-word-476,handsome,英俊的,学校,L1,He is handsome.,他很帅。,,,,,emoji:😎,no,no
english-word-479,hospital,医院,学校,L1,Go to the hospital when sick.,生病了去医院,,,图片/hospital.png,,emoji:🏥,yes,no
english-word-517,how old,多大年龄,学校,L1,How old are you?,你几岁啦？,,,,,emoji:🎂,no,no
english-word-526,ice-cream,冰淇淋,学校,L1,Ice-cream is a useful word.,我看见冰淇淋。,,,,,emoji:🍦,no,no
english-word-593,in one hour,一小时之后,学校,L1,In one hour is a useful word.,我看见一小时之后。,,,,,emoji:⏰,no,no
english-word-547,january,一月,学校,L1,My birthday is in January.,我的生日在一月。,,,,,emoji:📅,no,no
english-word-548,july,七月,学校,L1,My birthday is in July.,我的生日在七月。,,,,,emoji:📅,no,no
english-word-549,june,六月,学校,L1,My birthday is in June.,我的生日在六月。,,,,,emoji:📅,no,no
english-word-522,kick,踢,学校,L1,Kick the ball.,踢球。,,,,,emoji:⚽,no,no
english-word-499,let's,我们一起,学校,L1,Let's brush our teeth.,我们一起刷牙吧。,,,,,emoji:🤝,no,no
english-word-560,library,图书馆,学校,L1,Read books in the library.,去图书馆看书,,,,,emoji:📚,no,no
