id,word,zh,theme,level,phrase,phraseZh,category,group,image,audio,art,hasImage,hasAudio
mc-allay,allay,悦灵,物品,MC-D1,I use the allay during our mission.,任务里我用到了allay。,item,用一用allay,图片/allay.png,音频/allay.mp3,none,yes,yes
mc-anvil,anvil,铁砧,物品,MC-D1,We keep the anvil in a quiet corner.,我们把anvil放在安静的角落。,item,用一用anvil,图片/anvil.png,,none,yes,no
mc-arrow,arrow,箭,物品,MC-D1,I check the arrow before leaving camp.,离开营地前我先检查arrow。,item,用一用arrow,图片/arrow.png,,none,yes,no
mc-bat,bat,蝙蝠,物品,MC-D1,The bat stays safe in my backpack.,bat安全地待在我的背包里。,item,用一用bat,图片/bat.png,音频/bat.mp3,none,yes,yes
mc-breed,breed,繁殖,物品,MC-D1,The breed stays safe in my backpack.,breed安全地待在我的背包里。,item,用一用breed,图片/breed.png,音频/breed.mp3,none,yes,yes
mc-chunk,chunk,区块,物品,MC-D1,My teammate passes me the chunk.,队友把chunk递给我。,item,用一用chunk,图片/chunk.png,,none,yes,no
mc-drops,drops,掉落物,物品,MC-D1,My teammate passes me the drops.,队友把drops递给我。,item,用一用drops,图片/drops.png,音频/drops.mp3,none,yes,yes
mc-dust,dust,粉末,物品,MC-D1,We keep the dust in a quiet corner.,我们把dust放在安静的角落。,item,用一用dust,图片/dust.png,音频/dust.mp3,none,yes,yes
mc-flame,flame,火矢,物品,MC-D1,I place the flame in my adventure chest.,我把flame放进冒险箱子。,item,用一用flame,图片/flame.png,音频/flame.mp3,none,yes,yes
mc-flint,flint,燧石,物品,MC-D1,I check the flint beside the campfire.,我在篝火旁检查flint。,item,用一用flint,图片/flint.png,,none,yes,no
mc-ghast,ghast,恶魂,物品,MC-D1,The ghast is ready for our next adventure.,ghast已经准备好下一次冒险。,item,用一用ghast,图片/ghast.png,音频/ghast.mp3,none,yes,yes
mc-grove,grove,树林,物品,MC-D1,I place the grove in my adventure chest.,我把grove放进冒险箱子。,item,用一用grove,图片/grove.png,,none,yes,no
mc-husk,husk,尸壳,物品,MC-D1,We prepare the husk before sunset.,日落前我们把husk准备好。,item,用一用husk,图片/husk.png,音频/husk.mp3,none,yes,yes
mc-igloo,igloo,冰屋,物品,MC-D1,We keep the igloo in a quiet corner.,我们把igloo放在安静的角落。,item,用一用igloo,图片/igloo.png,音频/igloo.mp3,none,yes,yes
mc-ingot,ingot,锭,物品,MC-D1,I return the ingot after the mission.,任务结束后我把ingot还回去。,item,用一用ingot,图片/ingot.png,音频/ingot.mp3,none,yes,yes
mc-lever,lever,拉杆,物品,MC-D1,We share the lever when the team needs it.,队友需要时我们一起用lever。,item,用一用lever,图片/lever.png,音频/lever.mp3,none,yes,yes
mc-llama,llama,羊驼,物品,MC-D1,I show the llama to my teammate at camp.,我在营地把llama给队友看。,item,用一用llama,图片/llama.png,音频/llama.mp3,none,yes,yes
mc-loom,loom,织布机,物品,MC-D1,The loom stays safe in my backpack.,loom安全地待在我的背包里。,item,用一用loom,图片/loom.png,,none,yes,no
