id,kind,word,translation,category,curriculumLevel,example,exampleZh,phonetic
zh-的,literacy,的,de,life,L1,他的 的确,用组词来记：「他的」「的确」。看见这些词，就能找到「的」。,de
zh-一,literacy,一,yī,number,L1,一个 一天,用组词来记：「一个」「一天」。看见这些词，就能找到「一」。,yī
zh-是,literacy,是,shì,self,L1,是我 不是,用组词来记：「是我」「不是」。看见这些词，就能找到「是」。,shì
zh-不,literacy,不,bù,self,L1,不好 不是,用组词来记：「不好」「不是」。看见这些词，就能找到「不」。,bù
zh-了,literacy,了,le,life,L1,哭了 没了,用组词来记：「哭了」「没了」。看见这些词，就能找到「了」。,le
zh-在,literacy,在,zài,self,L1,在家 在这,用组词来记：「在家」「在这」。看见这些词，就能找到「在」。,zài
zh-人,literacy,人,rén,self,L1,人们 大人,用组词来记：「人们」「大人」。看见这些词，就能找到「人」。,rén
zh-有,literacy,有,yǒu,self,L1,没有 有水,用组词来记：「没有」「有水」。看见这些词，就能找到「有」。,yǒu
zh-我,literacy,我,wǒ,self,L1,我爱家 我们,用组词来记：「我爱家」「我们」。看见这些词，就能找到「我」。,wǒ
zh-他,literacy,他,tā,self,L1,他们 他的,用组词来记：「他们」「他的」。看见这些词，就能找到「他」。,tā
zh-这,literacy,这,zhè,life,L1,在这 这个,用组词来记：「在这」「这个」。看见这些词，就能找到「这」。,zhè
zh-个,literacy,个,gè,quantity,L1,一个 这个,用组词来记：「一个」「这个」。看见这些词，就能找到「个」。,gè
zh-们,literacy,们,men,life,L1,人们 他们,用组词来记：「人们」「他们」。看见这些词，就能找到「们」。,men
zh-中,literacy,中,zhōng,life,L1,中间 中午,用组词来记：「中间」「中午」。看见这些词，就能找到「中」。,zhōng
zh-来,literacy,来,lái,life,L1,回来 过来,用组词来记：「回来」「过来」。看见这些词，就能找到「来」。,lái
zh-上,literacy,上,shàng,life,L1,上学 上山,用组词来记：「上学」「上山」。看见这些词，就能找到「上」。,shàng
zh-大,literacy,大,dà,quantity,L1,大树 大人,用组词来记：「大树」「大人」。看见这些词，就能找到「大」。,dà
zh-为,literacy,为,wèi,life,L1,为异客 为有暗香,用组词来记：「为异客」「为有暗香」。看见这些词，就能找到「为」。,wèi
zh-和,literacy,和,hé,life,L1,你和我 饱和,用组词来记：「你和我」「饱和」。看见这些词，就能找到「和」。,hé
zh-国,literacy,国,guó,life,L1,中国 国旗,用组词来记：「中国」「国旗」。看见这些词，就能找到「国」。,guó
zh-地,literacy,地,dì,nature,L1,地上 土地,用组词来记：「地上」「土地」。看见这些词，就能找到「地」。,dì
zh-到,literacy,到,dào,number,L1,一到十 到客船,用组词来记：「一到十」「到客船」。看见这些词，就能找到「到」。,dào
zh-以,literacy,以,yǐ,life,L1,报以 曾以,用组词来记：「报以」「曾以」。看见这些词，就能找到「以」。,yǐ
zh-说,literacy,说,shuō,action,L1,说话 听说,用组词来记：「说话」「听说」。看见这些词，就能找到「说」。,shuō
zh-时,literacy,时,shí,life,L1,时钟 汉时关,用组词来记：「时钟」「汉时关」。看见这些词，就能找到「时」。,shí
zh-要,literacy,要,yào,life,L1,并要 必要,用组词来记：「并要」「必要」。看见这些词，就能找到「要」。,yào
