id,word,translation,category,curriculumLevel,example,exampleZh,image,audio
english-word-74,black,黑色,颜色,L1,The cat is black.,这只猫是黑色的。,media/semantic/black.png,media/audio/black.mp3
english-word-02,blue,蓝色,颜色,L1,The sky is blue.,天空是蓝色的。,media/semantic/blue.png,media/audio/blue.mp3
english-word-03,green,绿色,颜色,L1,A green leaf is here.,这里有一片绿叶。,media/semantic/green.png,media/audio/green.mp3
english-word-124,pink,粉色,颜色,L1,The flower is pink.,这朵花是粉色的。,,
english-word-125,purple,紫色,颜色,L1,The grape is purple.,葡萄是紫色的。,media/semantic/purple.png,
english-word-01,red,红色,颜色,L1,It's red.,它是红色的。,media/semantic/red.png,media/audio/red.mp3
english-word-73,white,白色,颜色,L1,The cloud is white.,云是白色的。,media/semantic/white.png,media/audio/white.mp3
english-word-04,yellow,黄色,颜色,L1,The sun looks yellow.,太阳看起来是黄色的。,media/semantic/yellow.png,media/audio/yellow.mp3
english-word-45,bear,熊,动物,L1,The bear is big.,熊很大。,,
english-word-83,bee,蜜蜂,动物,L1,A bee is on the flower.,花上有一只蜜蜂。,media/semantic/bee.png,media/audio/bee.mp3
english-word-08,bird,鸟,动物,L1,A bird can fly.,小鸟会飞。,,
english-word-86,butterfly,蝴蝶,动物,L1,The butterfly is pretty.,这只蝴蝶很漂亮。,,
english-word-05,cat,猫,动物,L1,I have a black cat.,我有一只黑猫。,media/semantic/cat.png,media/audio/cat.mp3
english-word-90,chicken,鸡,动物,L1,The chicken is small.,这只鸡小小的。,media/semantic/chicken.png,media/audio/chicken.mp3
english-word-94,cow,奶牛,动物,L1,The cow is big.,这头奶牛很大。,media/semantic/cow.png,media/audio/cow.mp3
english-word-06,dog,狗,动物,L1,The dog can run.,小狗会跑。,media/semantic/dog.png,
english-word-43,duck,鸭子,动物,L1,The duck can swim.,鸭子会游泳。,,
english-word-101,elephant,大象,动物,L1,The elephant is huge.,大象非常大。,,
english-word-07,fish,鱼,动物,L1,I see a little fish.,我看见一条小鱼。,media/semantic/fish.png,
english-word-182,fox,狐狸,动物,L1,The fox is orange.,狐狸是橙色的。,media/semantic/fox.png,media/audio/fox.mp3
english-word-104,frog,青蛙,动物,L1,The frog can jump.,青蛙会跳。,media/semantic/frog.png,media/audio/frog.mp3
english-word-105,giraffe,长颈鹿,动物,L1,The giraffe is tall.,长颈鹿很高。,,
english-word-112,horse,马,动物,L1,The horse can run.,马会跑。,media/semantic/horse.png,media/audio/horse.mp3
english-word-114,lion,狮子,动物,L1,The lion is strong.,狮子很强壮。,media/semantic/lion.png,
english-word-46,monkey,猴子,动物,L1,The monkey can climb.,猴子会爬。,,
english-word-181,mouse,老鼠,动物,L1,The mouse is small.,老鼠小小的。,,
english-word-121,panda,熊猫,动物,L1,The panda is black and white.,熊猫是黑白的。,media/semantic/panda.png,media/audio/panda.mp3
english-word-44,pig,猪,动物,L1,The pig is pink.,小猪是粉色的。,media/semantic/pig.png,media/audio/pig.mp3
english-word-47,rabbit,兔子,动物,L1,The rabbit is white.,兔子是白色的。,media/semantic/rabbit.png,
english-word-129,sheep,羊,动物,L1,The sheep is white.,这只羊是白色的。,media/semantic/sheep.png,media/audio/sheep.mp3
english-word-138,tiger,老虎,动物,L1,The tiger is orange.,老虎是橙色的。,,
english-word-78,ear,耳朵,身体,L1,Touch your ear.,摸摸你的耳朵。,,
english-word-17,eye,眼睛,身体,L1,Close one eye.,闭上眼睛。,media/semantic/eye.png,
english-word-146,face,脸,身体,L1,"Wash your face, please.",请洗脸。,,
english-word-79,foot,脚,身体,L1,Stamp your foot.,跺一跺脚。,,
english-word-109,hair,头发,身体,L1,Touch your hair.,摸摸你的头发。,,
english-word-16,hand,手,身体,L1,Hold my hand.,拉着我的手。,,
english-word-111,head,头,身体,L1,Touch your head.,摸摸你的头。,,
english-word-116,mouth,嘴巴,身体,L1,Open your mouth.,张开你的嘴巴。,,
english-word-119,nose,鼻子,身体,L1,Touch your nose.,摸摸你的鼻子。,media/semantic/nose.png,
english-word-576,aunt,阿姨,家人,L1,This is my aunt.,这是我的阿姨。,,
english-word-578,cousin,表亲,家人,L1,He is my cousin.,他是我的表亲。,,
english-word-468,grandfather,爷爷,家人,L1,I love my grandfather.,我爱我的爷爷。,,
english-word-469,grandmother,奶奶,家人,L1,I love my grandmother.,我爱我的奶奶。,,
english-word-579,uncle,叔叔,家人,L1,This is my uncle.,这是我的叔叔。,,
english-word-09,apple,苹果,食物,L1,I like this apple.,我喜欢这个苹果。,media/semantic/apple.png,media/audio/apple.mp3
english-word-10,banana,香蕉,食物,L1,A banana is yellow.,香蕉是黄色的。,media/semantic/banana.png,
english-word-48,bread,面包,食物,L1,I like bread.,我喜欢面包。,media/semantic/bread.png,
english-word-50,cake,蛋糕,食物,L1,I love cake.,我喜欢蛋糕。,media/semantic/cake.png,
english-word-87,candy,糖果,食物,L1,I like candy.,我喜欢糖果。,,
english-word-89,cherry,樱桃,食物,L1,I eat a cherry.,我吃一颗樱桃。,media/semantic/cherry.png,
english-word-93,cookie,饼干,食物,L1,I eat a cookie.,我吃一块饼干。,media/semantic/cookie.png,
english-word-52,egg,鸡蛋,食物,L1,I eat an egg.,我吃一个鸡蛋。,media/semantic/egg.png,
english-word-108,grape,葡萄,食物,L1,I eat a grape.,我吃一颗葡萄。,media/semantic/grape.png,
english-word-343,ice cream,冰淇淋,食物,L1,Ice cream is a useful word.,我看见冰淇淋。,,
english-word-51,juice,果汁,食物,L1,I drink juice.,我喝果汁。,,
english-word-80,milk,牛奶,食物,L1,Do you want some milk?,你想喝点牛奶吗？,media/semantic/milk.png,
english-word-118,noodles,面条,食物,L1,I eat noodles.,我吃面条。,media/semantic/noodles.png,
english-word-120,orange,橙子,食物,L1,I eat an orange.,我吃一个橘子。,media/semantic/orange.png,
english-word-122,peach,桃子,食物,L1,This peach is sweet.,这个桃子很甜。,media/semantic/peach.png,
english-word-123,pear,梨,食物,L1,I eat a pear.,我吃一个梨。,media/semantic/pear.png,
english-word-49,rice,米饭,食物,L1,I eat rice.,我吃米饭。,media/semantic/rice.png,
english-word-135,strawberry,草莓,食物,L1,I eat a strawberry.,我吃一颗草莓。,media/semantic/strawberry.png,
english-word-156,tea,茶,食物,L1,Mom drinks tea.,妈妈喝茶。,,
english-word-160,vegetable,蔬菜,食物,L1,Eat a vegetable.,吃一点蔬菜。,,
english-word-161,water,水,食物,L1,Drink some water.,喝点水。,,media/audio/water.mp3
english-word-141,watermelon,西瓜,食物,L1,The watermelon is sweet.,西瓜很甜。,media/semantic/watermelon.png,
english-word-92,cloud,云,自然,L1,A white cloud is in the sky.,天上有一朵白云。,media/semantic/cloud.png,
english-word-14,moon,月亮,自然,L1,I see the moon.,我看见月亮。,,
english-word-127,rain,雨,自然,L1,The rain is falling.,下雨了。,media/semantic/rain.png,
english-word-134,snow,雪,自然,L1,The snow is white.,雪是白色的。,media/semantic/snow.png,
english-word-15,star,星星,自然,L1,A star is bright.,星星亮晶晶。,,
english-word-13,sun,太阳,自然,L1,The sun is big.,太阳很大。,,media/audio/sun.mp3
english-word-142,wind,风,自然,L1,The wind is soft.,风轻轻的。,,
english-word-81,bag,书包,物品,L1,This is my bag.,这是我的书包。,media/semantic/bag.png,media/audio/bag.mp3
english-word-12,ball,球,物品,L1,Do you want to play ball?,你想玩球吗？,,
english-word-82,bed,床,物品,L1,It's time to go to bed.,该睡觉啦。,media/semantic/bed.png,media/audio/bed.mp3
english-word-184,bike,自行车,物品,L1,I ride a bike.,我骑自行车。,,
english-word-84,blocks,积木,物品,L1,I play with blocks.,我玩积木。,,
english-word-11,book,书,物品,L1,I read a book.,我在看书。,media/semantic/book.png,
english-word-143,box,盒子,物品,L1,Open the box.,打开盒子。,,
english-word-85,bubble,泡泡,物品,L1,Look at the bubble.,看这个泡泡。,,
english-word-183,bus,公交车,物品,L1,The bus is yellow.,公交车是黄色的。,media/semantic/bus.png,
english-word-88,car,小汽车,物品,L1,The car is red.,这辆小汽车是红色的。,media/semantic/car.png,
