id,kind,word,translation,category,curriculumLevel,example,exampleZh,phonetic
word-sat,phonics,sat,坐下,cvc-blending,L2,s-a-t,坐下,s-a-t
word-pat,phonics,pat,轻拍,cvc-blending,L2,p-a-t,轻拍,p-a-t
word-map,phonics,map,地图,cvc-blending,L2,m-a-p,地图,m-a-p
word-tap,phonics,tap,轻敲,cvc-blending,L2,t-a-p,轻敲,t-a-p
word-mat,phonics,mat,垫子,cvc-blending,L2,m-a-t,垫子,m-a-t
word-mad,phonics,mad,生气,cvc-blending,L2,m-a-d,生气,m-a-d
word-sad,phonics,sad,难过,cvc-blending,L2,s-a-d,难过,s-a-d
word-sam,phonics,sam,山姆,cvc-blending,L2,s-a-m,山姆,s-a-m
word-am,phonics,am,我是,cvc-blending,L2,a-m,我是,a-m
word-at,phonics,at,在,first-letter-sounds,L1,a-t,在,a-t
word-an,phonics,an,一个,first-letter-sounds,L1,a-n,一个,a-n
word-in,phonics,in,里面,cvc-blending,L2,i-n,里面,i-n
word-it,phonics,it,它,cvc-blending,L2,i-t,它,i-t
word-is,phonics,is,是,cvc-blending,L2,i-s,是,i-s
word-sit,phonics,sit,坐,cvc-blending,L2,s-i-t,坐,s-i-t
word-pin,phonics,pin,别针,cvc-blending,L2,p-i-n,别针,p-i-n
word-pit,phonics,pit,坑,cvc-blending,L2,p-i-t,坑,p-i-t
word-tip,phonics,tip,尖尖,cvc-blending,L2,t-i-p,尖尖,t-i-p
word-tin,phonics,tin,罐子,cvc-blending,L2,t-i-n,罐子,t-i-n
word-nip,phonics,nip,轻咬,cvc-blending,L2,n-i-p,轻咬,n-i-p
word-pan,phonics,pan,平底锅,cvc-blending,L2,p-a-n,平底锅,p-a-n
word-nap,phonics,nap,小睡,cvc-blending,L2,n-a-p,小睡,n-a-p
word-man,phonics,man,男人,cvc-blending,L2,m-a-n,男人,m-a-n
word-can,phonics,can,可以,cvc-blending,L2,c-a-n,可以,c-a-n
word-cat,phonics,cat,猫,cvc-blending,L2,c-a-t,猫,c-a-t
word-hat,phonics,hat,帽子,cvc-blending,L2,h-a-t,帽子,h-a-t
word-ham,phonics,ham,火腿,cvc-blending,L2,h-a-m,火腿,h-a-m
word-hit,phonics,hit,打,cvc-blending,L2,h-i-t,打,h-i-t
word-bit,phonics,bit,一点,cvc-blending,L2,b-i-t,一点,b-i-t
word-bin,phonics,bin,箱子,cvc-blending,L2,b-i-n,箱子,b-i-n
word-dip,phonics,dip,蘸一蘸,cvc-blending,L2,d-i-p,蘸一蘸,d-i-p
word-hot,phonics,hot,热,short-vowels-and-families,L3,h-o-t,热,h-o-t
word-pot,phonics,pot,锅,short-vowels-and-families,L3,p-o-t,锅,p-o-t
word-not,phonics,not,不,short-vowels-and-families,L3,n-o-t,不,n-o-t
word-hop,phonics,hop,跳,short-vowels-and-families,L3,h-o-p,跳,h-o-p
word-mop,phonics,mop,拖把,short-vowels-and-families,L3,m-o-p,拖把,m-o-p
word-top,phonics,top,上面,short-vowels-and-families,L3,t-o-p,上面,t-o-p
word-dog,phonics,dog,狗,short-vowels-and-families,L3,d-o-g,狗,d-o-g
word-log,phonics,log,木头,short-vowels-and-families,L3,l-o-g,木头,l-o-g
word-fog,phonics,fog,雾,short-vowels-and-families,L3,f-o-g,雾,f-o-g
word-pet,phonics,pet,宠物,short-vowels-and-families,L3,p-e-t,宠物,p-e-t
word-get,phonics,get,拿到,short-vowels-and-families,L3,g-e-t,拿到,g-e-t
word-ten,phonics,ten,十,short-vowels-and-families,L3,t-e-n,十,t-e-n
word-bed,phonics,bed,床,short-vowels-and-families,L3,b-e-d,床,b-e-d
word-bug,phonics,bug,虫子,short-vowels-and-families,L3,b-u-g,虫子,b-u-g
word-mug,phonics,mug,杯子,short-vowels-and-families,L3,m-u-g,杯子,m-u-g
word-sun,phonics,sun,太阳,short-vowels-and-families,L3,s-u-n,太阳,s-u-n
word-run,phonics,run,跑,short-vowels-and-families,L3,r-u-n,跑,r-u-n
word-fun,phonics,fun,好玩,short-vowels-and-families,L3,f-u-n,好玩,f-u-n
word-ship,phonics,ship,船,common-digraphs,L4,sh-i-p,船,sh-i-p
word-shop,phonics,shop,商店,common-digraphs,L4,sh-o-p,商店,sh-o-p
word-shut,phonics,shut,关上,common-digraphs,L4,sh-u-t,关上,sh-u-t
word-fish,phonics,fish,鱼,common-digraphs,L4,f-i-sh,鱼,f-i-sh
word-dish,phonics,dish,盘子,common-digraphs,L4,d-i-sh,盘子,d-i-sh
word-wish,phonics,wish,许愿,common-digraphs,L4,w-i-sh,许愿,w-i-sh
word-chip,phonics,chip,薯片,common-digraphs,L4,ch-i-p,薯片,ch-i-p
word-chat,phonics,chat,聊天,common-digraphs,L4,ch-a-t,聊天,ch-a-t
word-chop,phonics,chop,砍,common-digraphs,L4,ch-o-p,砍,ch-o-p
word-rich,phonics,rich,有钱,common-digraphs,L4,r-i-ch,有钱,r-i-ch
word-much,phonics,much,很多,common-digraphs,L4,m-u-ch,很多,m-u-ch
word-such,phonics,such,这样,common-digraphs,L4,s-u-ch,这样,s-u-ch
word-thin,phonics,thin,瘦,common-digraphs,L4,th-i-n,瘦,th-i-n
word-that,phonics,that,那个,common-digraphs,L4,th-a-t,那个,th-a-t
word-this,phonics,this,这个,common-digraphs,L4,th-i-s,这个,th-i-s
word-back,phonics,back,后面,common-digraphs,L4,b-a-ck,后面,b-a-ck
word-pick,phonics,pick,捡,common-digraphs,L4,p-i-ck,捡,p-i-ck
word-kick,phonics,kick,踢,common-digraphs,L4,k-i-ck,踢,k-i-ck
word-sing,phonics,sing,唱歌,common-digraphs,L4,s-i-ng,唱歌,s-i-ng
word-ring,phonics,ring,戒指,common-digraphs,L4,r-i-ng,戒指,r-i-ng
word-long,phonics,long,长,common-digraphs,L4,l-o-ng,长,l-o-ng
word-stop,phonics,stop,停,consonant-blends,L5,st-o-p,停,st-o-p
word-step,phonics,step,一步,consonant-blends,L5,st-e-p,一步,st-e-p
word-stand,phonics,stand,站,consonant-blends,L5,st-a-nd,站,st-a-nd
word-spin,phonics,spin,转,consonant-blends,L5,sp-i-n,转,sp-i-n
word-spot,phonics,spot,斑点,consonant-blends,L5,sp-o-t,斑点,sp-o-t
word-spun,phonics,spun,转过,consonant-blends,L5,sp-u-n,转过,sp-u-n
word-slam,phonics,slam,摔门,consonant-blends,L5,sl-a-m,摔门,sl-a-m
word-slip,phonics,slip,滑倒,consonant-blends,L5,sl-i-p,滑倒,sl-i-p
word-slap,phonics,slap,拍打,consonant-blends,L5,sl-a-p,拍打,sl-a-p
