id,word,zh,theme,level,phrase,phraseZh,category,group,image,audio,art,hasImage,hasAudio
mc-birch,birch,白桦,方块,MC-D1,We make a small path with the birch.,我们用birch铺出一条小路。,block,放好birch,图片/birch.png,音频/birch.mp3,none,yes,yes
mc-dirt,dirt,泥土,方块,MC-D1,We choose the dirt for the garden wall.,花园围墙我们选用dirt。,block,放好dirt,图片/dirt.png,,none,yes,no
mc-log,log,原木,方块,MC-D1,I stack the log to make a small wall.,我把log叠成一堵小墙。,block,放好log,图片/log.png,,none,yes,no
mc-acacia,acacia,金合欢,方块,MC-D2,I stack the acacia to make a small wall.,我把acacia叠成一堵小墙。,block,放好acacia,图片/acacia.png,音频/acacia.mp3,none,yes,yes
mc-actinium,actinium,锕,方块,MC-D2,The actinium keeps our little house strong.,actinium让小屋更结实。,block,放好actinium,图片/actinium.png,,none,yes,no
mc-aluminum,aluminum,铝,方块,MC-D2,A torch shines on the aluminum at night.,夜里火把照亮了aluminum。,block,放好aluminum,图片/aluminum.png,,none,yes,no
mc-antimony,antimony,n.法律的自相矛盾,方块,MC-D2,I place the antimony beside the doorway.,我把antimony放在门口。,block,放好antimony,图片/antimony.png,,none,yes,no
mc-arena,arena,竞技场,方块,MC-D2,I count the arena before we start building.,开工前我先数一数arena。,block,放好arena,图片/arena.png,,none,yes,no
mc-argon,argon,氩,方块,MC-D2,The builder stores the argon in a chest.,建造的人把argon放进箱子。,block,放好argon,图片/argon.png,,none,yes,no
mc-arsenic,arsenic,砷剂,方块,MC-D2,I count the arsenic before we start building.,开工前我先数一数arsenic。,block,放好arsenic,图片/arsenic.png,,none,yes,no
mc-astatine,astatine,砹,方块,MC-D2,I place the astatine beside the doorway.,我把astatine放在门口。,block,放好astatine,图片/astatine.png,,none,yes,no
mc-barium,barium,钡,方块,MC-D2,I collect the barium before sunset.,日落前我把barium收好。,block,放好barium,图片/barium.png,,none,yes,no
mc-basalt,basalt,玄武岩,方块,MC-D2,I replace the broken basalt near camp.,我在营地旁换掉坏掉的basalt。,block,放好basalt,图片/basalt.png,,none,yes,no
mc-bismuth,bismuth,铋,方块,MC-D2,The bismuth gives our base a new shape.,bismuth让基地有了新样子。,block,放好bismuth,图片/bismuth.png,,none,yes,no
mc-bohrium,bohrium,Bh元素,方块,MC-D2,The bohrium gives our base a new shape.,bohrium让基地有了新样子。,block,放好bohrium,图片/bohrium.png,,none,yes,no
mc-boron,boron,硼,方块,MC-D2,I stack the boron to make a small wall.,我把boron叠成一堵小墙。,block,放好boron,图片/boron.png,,none,yes,no
mc-brick,brick,红砖,方块,MC-D2,I replace the broken brick near camp.,我在营地旁换掉坏掉的brick。,block,放好brick,图片/brick.png,,none,yes,no
mc-bricks,bricks,砖块,方块,MC-D2,A torch shines on the bricks at night.,夜里火把照亮了bricks。,block,放好bricks,图片/bricks.png,,none,yes,no
mc-bromine,bromine,溴,方块,MC-D2,Rain falls softly on the bromine.,雨轻轻落在bromine上。,block,放好bromine,图片/bromine.png,,none,yes,no
mc-cadmium,cadmium,镉,方块,MC-D2,I stack the cadmium to make a small wall.,我把cadmium叠成一堵小墙。,block,放好cadmium,图片/cadmium.png,,none,yes,no
mc-calcium,calcium,钙,方块,MC-D2,I stack the calcium to make a small wall.,我把calcium叠成一堵小墙。,block,放好calcium,图片/calcium.png,,none,yes,no
