id,word,translation,category,curriculumLevel,example,exampleZh,image,audio
mc-cave,cave,洞穴,place,MC-D1,We enter the cave with bright torches.,我们举着亮火把走进cave。,media/semantic/cave.png,media/audio/cave.mp3
mc-birch,birch,白桦,block,MC-D1,We make a small path with the birch.,我们用birch铺出一条小路。,media/semantic/birch.png,media/audio/birch.mp3
mc-dirt,dirt,泥土,block,MC-D1,We choose the dirt for the garden wall.,花园围墙我们选用dirt。,media/semantic/dirt.png,
mc-log,log,原木,block,MC-D1,I stack the log to make a small wall.,我把log叠成一堵小墙。,media/semantic/log.png,
mc-axe,axe,斧,tool,MC-D1,I lend the axe to my teammate.,我把axe借给队友。,media/semantic/axe.png,
mc-hoe,hoe,锄,tool,MC-D1,I lend the hoe to my teammate.,我把hoe借给队友。,media/semantic/hoe.png,
mc-blaze,blaze,烈焰人,mob,MC-D1,I spot a blaze near the village.,我在村子附近看见blaze。,media/semantic/blaze.png,media/audio/blaze.mp3
mc-slime,slime,史莱姆,mob,MC-D1,I leave food for the slime.,我给slime留一点食物。,media/semantic/slime.png,media/audio/slime.mp3
mc-squid,squid,鱿鱼,mob,MC-D1,I spot a squid near the village.,我在村子附近看见squid。,media/semantic/squid.png,media/audio/squid.mp3
mc-witch,witch,女巫,mob,MC-D1,The witch visits our camp at dawn.,天亮时witch来到我们的营地。,media/semantic/witch.png,media/audio/witch.mp3
mc-swamp,swamp,沼泽,biome,MC-D1,We build a lookout in the swamp.,我们在swamp里建了一个瞭望台。,media/semantic/swamp.png,
mc-taiga,taiga,针叶林,biome,MC-D1,We explore the taiga after breakfast.,吃完早饭我们去探索taiga。,media/semantic/taiga.png,
mc-cod,cod,鳕鱼,food,MC-D1,I share the cod with my teammate.,我和队友一起用cod。,media/semantic/cod.png,
mc-melon,melon,西瓜,food,MC-D1,We save the melon for the long walk.,我们把melon留给走远路的时候。,media/semantic/melon.png,
mc-allay,allay,悦灵,item,MC-D1,I use the allay during our mission.,任务里我用到了allay。,media/semantic/allay.png,media/audio/allay.mp3
mc-anvil,anvil,铁砧,item,MC-D1,We keep the anvil in a quiet corner.,我们把anvil放在安静的角落。,media/semantic/anvil.png,
mc-arrow,arrow,箭,item,MC-D1,I check the arrow before leaving camp.,离开营地前我先检查arrow。,media/semantic/arrow.png,
mc-bat,bat,蝙蝠,item,MC-D1,The bat stays safe in my backpack.,bat安全地待在我的背包里。,media/semantic/bat.png,media/audio/bat.mp3
mc-breed,breed,繁殖,item,MC-D1,The breed stays safe in my backpack.,breed安全地待在我的背包里。,media/semantic/breed.png,media/audio/breed.mp3
mc-chunk,chunk,区块,item,MC-D1,My teammate passes me the chunk.,队友把chunk递给我。,media/semantic/chunk.png,
mc-drops,drops,掉落物,item,MC-D1,My teammate passes me the drops.,队友把drops递给我。,media/semantic/drops.png,media/audio/drops.mp3
mc-dust,dust,粉末,item,MC-D1,We keep the dust in a quiet corner.,我们把dust放在安静的角落。,media/semantic/dust.png,media/audio/dust.mp3
mc-flame,flame,火矢,item,MC-D1,I place the flame in my adventure chest.,我把flame放进冒险箱子。,media/semantic/flame.png,media/audio/flame.mp3
mc-flint,flint,燧石,item,MC-D1,I check the flint beside the campfire.,我在篝火旁检查flint。,media/semantic/flint.png,
mc-ghast,ghast,恶魂,item,MC-D1,The ghast is ready for our next adventure.,ghast已经准备好下一次冒险。,media/semantic/ghast.png,media/audio/ghast.mp3
mc-grove,grove,树林,item,MC-D1,I place the grove in my adventure chest.,我把grove放进冒险箱子。,media/semantic/grove.png,
mc-husk,husk,尸壳,item,MC-D1,We prepare the husk before sunset.,日落前我们把husk准备好。,media/semantic/husk.png,media/audio/husk.mp3
mc-igloo,igloo,冰屋,item,MC-D1,We keep the igloo in a quiet corner.,我们把igloo放在安静的角落。,media/semantic/igloo.png,media/audio/igloo.mp3
mc-ingot,ingot,锭,item,MC-D1,I return the ingot after the mission.,任务结束后我把ingot还回去。,media/semantic/ingot.png,media/audio/ingot.mp3
mc-lever,lever,拉杆,item,MC-D1,We share the lever when the team needs it.,队友需要时我们一起用lever。,media/semantic/lever.png,media/audio/lever.mp3
mc-llama,llama,羊驼,item,MC-D1,I show the llama to my teammate at camp.,我在营地把llama给队友看。,media/semantic/llama.png,media/audio/llama.mp3
mc-loom,loom,织布机,item,MC-D1,The loom stays safe in my backpack.,loom安全地待在我的背包里。,media/semantic/loom.png,
mc-loot,loot,战利品,item,MC-D1,I find the loot beside the crafting table.,我在工作台旁边找到loot。,media/semantic/loot.png,media/audio/loot.mp3
mc-lure,lure,诱钓,item,MC-D1,I return the lure after the mission.,任务结束后我把lure还回去。,media/semantic/lure.png,media/audio/lure.mp3
mc-mace,mace,狼牙棒,item,MC-D1,I check the mace beside the campfire.,我在篝火旁检查mace。,media/semantic/mace.png,
mc-mob,mob,生物,item,MC-D1,I find the mob beside the crafting table.,我在工作台旁边找到mob。,media/semantic/mob.png,
mc-mule,mule,骡子,item,MC-D1,I check the mule before leaving camp.,离开营地前我先检查mule。,media/semantic/mule.png,media/audio/mule.mp3
