id,kind,word,translation,category,curriculumLevel,example,exampleZh,phonetic
math-problem-01,math,花园数量题 1,1,counting,L1,花园数量题 1,1,
math-problem-02,math,花园数量题 2,2,compare,L1,花园数量题 2,2,
math-problem-03,math,花园数量题 3,3,compose,L1,花园数量题 3,3,
math-problem-04,math,花园数量题 4,4,take-away,L1,花园数量题 4,4,
math-problem-05,math,花园数量题 5,5,addition,L1,花园数量题 5,5,
math-problem-06,math,花园数量题 6,1,grouping,L1,花园数量题 6,1,
math-problem-07,math,花园数量题 7,2,counting,L1,花园数量题 7,2,
math-problem-08,math,花园数量题 8,3,compare,L1,花园数量题 8,3,
math-problem-09,math,花园数量题 9,4,compose,L1,花园数量题 9,4,
math-problem-10,math,花园数量题 10,5,take-away,L1,花园数量题 10,5,
math-problem-11,math,哪边太阳更多？,5,compare,L2,哪边太阳更多？,5,
math-problem-12,math,哪边太阳更多？,4,compare,L2,哪边太阳更多？,4,
math-problem-13,math,哪边太阳更多？,6,compare,L2,哪边太阳更多？,6,
math-problem-14,math,哪边太阳更多？,8,compare,L2,哪边太阳更多？,8,
math-problem-15,math,哪边太阳更多？,7,compare,L2,哪边太阳更多？,7,
math-problem-16,math,哪边太阳更多？,9,compare,L2,哪边太阳更多？,9,
math-problem-17,math,哪边太阳更多？,8,compare,L2,哪边太阳更多？,8,
math-problem-18,math,哪边太阳更多？,5,compare,L2,哪边太阳更多？,5,
math-problem-19,math,哪边太阳更多？,7,compare,L2,哪边太阳更多？,7,
math-problem-20,math,哪边太阳更多？,9,compare,L2,哪边太阳更多？,9,
math-problem-21,math,3 + 2 = ?,5,addition,L3,3 + 2 = ?,5,
math-problem-22,math,4 + 5 = ?,9,addition,L3,4 + 5 = ?,9,
math-problem-23,math,8 - 3 = ?,5,take-away,L3,8 - 3 = ?,5,
math-problem-24,math,6 + 4 = ?,10,addition,L3,6 + 4 = ?,10,
math-problem-25,math,9 - 4 = ?,5,take-away,L3,9 - 4 = ?,5,
math-problem-26,math,8 + 7 = ?,15,addition,L3,8 + 7 = ?,15,
math-problem-27,math,12 - 5 = ?,7,take-away,L3,12 - 5 = ?,7,
math-problem-28,math,9 + 6 = ?,15,addition,L3,9 + 6 = ?,15,
math-problem-29,math,11 - 4 = ?,7,take-away,L3,11 - 4 = ?,7,
math-problem-30,math,10 - 3 = ?,7,take-away,L3,10 - 3 = ?,7,
math-problem-31,math,5 - 1 = ?,4,take-away,L4,5 - 1 = ?,4,
math-problem-32,math,5 - 2 = ?,3,take-away,L4,5 - 2 = ?,3,
math-problem-33,math,5 - 3 = ?,2,take-away,L4,5 - 3 = ?,2,
math-problem-34,math,4 - 1 = ?,3,take-away,L4,4 - 1 = ?,3,
math-problem-35,math,4 - 2 = ?,2,take-away,L4,4 - 2 = ?,2,
math-problem-36,math,3 - 1 = ?,2,take-away,L4,3 - 1 = ?,2,
math-problem-37,math,5 - 4 = ?,1,take-away,L4,5 - 4 = ?,1,
math-problem-38,math,4 - 3 = ?,1,take-away,L4,4 - 3 = ?,1,
math-problem-39,math,5 - 0 = ?,5,take-away,L4,5 - 0 = ?,5,
math-problem-40,math,3 - 2 = ?,1,take-away,L4,3 - 2 = ?,1,
math-problem-41,math,6 + 3 = ?,9,addition,L5,6 + 3 = ?,9,
math-problem-42,math,7 + 2 = ?,9,addition,L5,7 + 2 = ?,9,
math-problem-43,math,5 + 5 = ?,10,addition,L5,5 + 5 = ?,10,
math-problem-44,math,8 + 2 = ?,10,addition,L5,8 + 2 = ?,10,
math-problem-45,math,9 + 1 = ?,10,addition,L5,9 + 1 = ?,10,
math-problem-46,math,10 - 4 = ?,6,take-away,L5,10 - 4 = ?,6,
math-problem-47,math,9 - 3 = ?,6,take-away,L5,9 - 3 = ?,6,
math-problem-48,math,8 - 5 = ?,3,take-away,L5,8 - 5 = ?,3,
math-problem-49,math,7 - 4 = ?,3,take-away,L5,7 - 4 = ?,3,
math-problem-50,math,10 - 6 = ?,4,take-away,L5,10 - 6 = ?,4,
